dataset_name,wasm_mode,median_runtime,median_runtime_ci_low,median_runtime_ci_high,speedup_ci_low,speedup_ci_high,speedup_point
3D Dense Clusters (1K points),all,3420.5000000037253,3386.89999999851,3460.10000000149,1.3106820848246186,1.3748747421159018,1.3371482288609153
3D Dense Clusters (1K points),dist,4576.599999997765,4492.050000000745,4636.0,0.9778196815779379,1.0332892707631727,1.0015756069402235
3D Dense Clusters (1K points),js,4570.94999999553,4512.050000000745,4690.09999999404,0.971169261206597,1.0330093495876662,1.0
3D Dense Clusters (1K points),matrix,4559.79999999702,4507.59999999404,5416.206249997763,0.8452135895814954,1.0304727192399503,1.001514918653491
3D Dense Clusters (1K points),nn,4628.19999999553,4540.80000000447,4723.10000000149,0.9616056982764518,1.0224211806720132,0.9891839172391316
3D Dense Clusters (1K points),opt,3441.5,3421.25,3542.7000000029802,1.2865245397014744,1.3632030464565856,1.3250835148857052
3D Dense Clusters (1K points),tree,4612.0,4539.10000000149,4672.69999999553,0.9715512324613299,1.0218305409694248,0.99215026632977
"Iris Dataset (150 points, 4D)",all,646.0999999977648,623.1999999992549,676.6000000014901,3.4164169513498965,3.7192015121536532,3.577423350894521
"Iris Dataset (150 points, 4D)",dist,2304.3000000044703,2297.0,2320.89999999851,0.9950197121818444,1.0103216174509702,1.0032547845332576
"Iris Dataset (150 points, 4D)",js,2311.050000000745,2306.89999999851,2326.9000000059605,0.9931803042652164,1.0073681022116556,1.0
"Iris Dataset (150 points, 4D)",matrix,2296.39999999851,2289.8000000044703,2312.14999999851,0.998744934302337,1.0140675855771057,1.0063393168338277
"Iris Dataset (150 points, 4D)",nn,2322.849999997765,2306.10000000149,2341.9249999985095,0.9879232385388853,1.005199781389408,0.9955943406023784
"Iris Dataset (150 points, 4D)",opt,602.1999999992549,595.9500000029802,613.25,3.7756216877390307,3.8864457531546113,3.8414755733066115
"Iris Dataset (150 points, 4D)",tree,2297.75,2291.949999999255,2305.70000000298,1.0017749672649565,1.014232205804151,1.0063644289440998
