machine,feature,speedup_median,speedup_mean,ci_lower,ci_upper,ci_width
Linux,All Features,1.5909819539037742,1.716982484908095,1.3199681582014795,2.229634161915403,0.9096660037139237
Linux,Distance,1.0316765286316392,1.0560218465517102,0.8705226424934291,1.230459166045334,0.35993652355190475
Linux,Tree,1.0351199319822366,1.0691415976863923,0.8695271685796632,1.263665901238849,0.39413873265918575
Linux,Matrix,1.0173359482374575,1.051115451453975,0.8685997563933672,1.2579404099584461,0.38934065356507896
Linux,NN Descent,1.01858544140495,1.03993132034986,0.8658993627907472,1.2375731166772161,0.37167375388646895
Linux,Optimizer,1.7539025091011837,1.7715255015753293,1.3276706554324234,2.2034250891852296,0.8757544337528063
MacBook,Tree,1.0496271849408245,1.0523203451952605,0.9518397033660307,1.2603781058150005,0.3085384024489698
MacBook,Matrix,1.0076235452678652,1.0177765227232747,0.9358973016428779,1.207870910163911,0.27197360852103303
MacBook,NN Descent,0.9658570245654831,0.9741567235055544,0.9069334064128179,1.1554629550161,0.24852954860328202
MacBook,Optimizer,2.8871150270806307,2.7832808559779303,1.682098655962776,3.5674471431085744,1.8853484871457984
MacBook,All Features,2.8641046946385704,2.5797661296830925,1.5599441730641963,3.7806159751377946,2.220671802073598
MacBook,Distance,1.0166643817880447,1.0346706992562584,0.943960848941869,1.2248368953879578,0.28087604644608877
