dataset_name,wasm_mode,Runtime (ms)_count,Runtime (ms)_mean,Runtime (ms)_median,Runtime (ms)_std,Runtime (ms)_q25,Runtime (ms)_q75,Memory (MB)_mean,Memory (MB)_median,Memory (MB)_std,Quality (%)_mean,Quality (%)_median,Quality (%)_std,FPS_mean,FPS_median,FPS_std,Latency (ms)_mean,Latency (ms)_median,Latency (ms)_std,Latency (ms)_q25,Latency (ms)_q75
3D Dense Clusters (1K points),all,10,3428.730000000447,3420.5000000037253,56.6887613796672,3391.0,3455.7750000003725,9.635541915893555,5.865059852600098,7.821089384971494,0.9970676175921209,0.9970813805399898,0.00014050682646843504,37.12950083580421,37.27865053998856,1.1963485501465139,26.889999999950327,26.829999999701975,1.055166010116858,26.533333333333335,27.12833333325883
3D Dense Clusters (1K points),dist,10,4575.630000000447,4576.599999997765,147.89886972592376,4501.475000005215,4626.75,12.224286556243896,11.815960884094238,5.672571557663331,0.9971992528442859,0.9972666836474784,0.0002455719677934832,49.83726703067927,50.081112290034774,0.8086863326128232,31.615333333263795,31.400000000000002,1.4353699570777454,30.421666665996113,32.40833333395422
3D Dense Clusters (1K points),js,10,4590.699999999255,4570.94999999553,102.43702672655866,4513.599999997765,4677.524999996648,11.389048385620118,11.506006240844727,7.460398342908397,0.9970532263542197,0.9971124978773986,0.00024277490491091597,49.71097710017827,50.06878134338918,0.6146387549848547,31.141999999930466,30.663333333532016,1.3716604339961305,30.21833333298564,31.993333333482347
3D Dense Clusters (1K points),matrix,10,4963.419999998063,4559.79999999702,894.1996717105997,4517.299999997021,4680.599999997765,10.954171180725098,5.935214996337891,9.798041242576815,0.9971359144167092,0.9971286721005265,0.00016327544092580766,48.88863096968526,49.54194780497697,1.8511481871676942,25.52666666646798,27.713333333035308,5.587691057516937,26.34000000009934,28.28333333233992
3D Dense Clusters (1K points),nn,10,4629.490000002086,4628.19999999553,94.58862334771095,4559.67500000447,4695.600000008941,14.264342308044434,13.21373462677002,6.9746752216797265,0.9971911190354898,0.9972256749872646,0.00016662057027265326,48.83079579845209,49.98001249110813,2.622011467774278,29.50266666690509,29.466666667163373,0.777143868785026,28.84000000059605,30.226666667312383
3D Dense Clusters (1K points),opt,10,3479.170000000298,3441.5,79.14165991502178,3425.699999991805,3508.9499999992554,1.7847111701965332,1.8938608169555664,5.620230707264639,0.9970710477160809,0.9971498556631007,0.00015889413786335005,36.45892976719143,36.57126023594172,2.258648083703673,31.0459999999404,30.793333333233992,1.2170616302940875,30.413333334525426,31.61000000064572
3D Dense Clusters (1K points),tree,10,4612.510000000894,4612.0,94.71864124855348,4551.800000000745,4663.79999999702,14.379409313201904,17.993634700775146,6.133091534142365,0.9971934623875022,0.9972719052470709,0.00015450532629801125,49.61224676226425,49.992501250035744,1.076211461288875,31.64199999993046,31.873333332935967,1.1891403679841577,31.394999999801318,32.09833333318432
"Iris Dataset (150 points, 4D)",all,10,652.7699999988079,646.0999999977648,39.0094020007148,624.7249999959022,673.9500000011176,12.874866104125976,13.059021949768066,0.7450931066743784,0.9857710181664554,0.9860963244613434,0.0012593524568556475,0.0,0.0,0.0,9.894545454531908,10.059090909294108,0.7978874768750074,9.281818181614982,10.29318181780929
"Iris Dataset (150 points, 4D)",dist,10,2309.410000000894,2304.3000000044703,17.075287536402296,2298.675000000745,2317.449999999255,1.4368349075317384,1.7761945724487305,0.953885217427223,0.9874021968736798,0.9873806506125897,0.001472229947181981,59.99541779942031,59.997000299925304,0.008389304181544658,8.324545454301617,8.15454545413906,0.5202078062294222,7.981818181885914,8.49090908992697
"Iris Dataset (150 points, 4D)",js,10,2316.6000000007452,2311.050000000745,15.589668943113876,2307.099999997765,2324.0250000059605,1.3174604415893554,1.2952175140380857,1.22043316991465,0.9886062526404732,0.9882784114913392,0.0014534671449721987,59.99380460477198,59.994000599850615,0.006762831746221484,9.193636363677005,9.077272728085518,0.4029289006064555,9.015909090299496,9.42272727276114
