dataset_name,wasm_mode,Runtime (ms),Memory (MB),Quality (%),FPS,Latency (ms),composite_score,pareto_runtime_quality
3D Dense Clusters (1K points),matrix,4445.0,3.0370912551879883,0.9973166921378842,51.17102932553632,26.266666666666666,0.715156951631913,True
3D Dense Clusters (1K points),js,4514.5,5.616052627563477,0.9974270674138224,48.9412704752838,29.673333332935968,0.6667216475476566,True
3D Dense Clusters (1K points),js,4439.0,2.330913543701172,0.9972456274409917,50.21662071674397,30.38000000019868,0.6510378992735872,False
3D Dense Clusters (1K points),nn,4556.70000000298,7.539389610290527,0.997286296484972,50.256208119236206,29.10666666726271,0.6375221325737427,False
3D Dense Clusters (1K points),dist,4477.89999999851,7.574070930480957,0.997343097300051,51.08556832702242,31.793333332737287,0.6374660383033757,False
"Iris Dataset (150 points, 4D)",matrix,2295.20000000298,1.649886131286621,0.9871778622729191,60.02755363143904,0.0,0.6717339545264953,False
"Iris Dataset (150 points, 4D)",tree,2292.0,-0.0196352005004882,0.989387410223912,60.02164715160768,7.827272726730867,0.6291602663524883,False
"Iris Dataset (150 points, 4D)",js,2297.10000000149,2.982439994812012,0.9916265314744402,60.0,9.072727273810994,0.6270029591703659,True
"Iris Dataset (150 points, 4D)",matrix,2289.8000000044703,1.6079206466674805,0.9897676383607944,60.0,7.75454545495185,0.6189358920462668,True
"Iris Dataset (150 points, 4D)",dist,2291.39999999851,0.6953496932983398,0.989332488381918,59.9803343166175,7.909090908413583,0.6171541716226143,False
"MNIST-like (1K points, 784D)",dist,4542.20000000298,-1.3993463516235352,0.6187766174223128,60.10444378765352,113.5454545447772,0.7915421939312166,True
"MNIST-like (1K points, 784D)",matrix,4396.0,15.172316551208496,0.6122240618101545,60.0039346845934,105.9454545459964,0.7769052122334963,True
"MNIST-like (1K points, 784D)",js,4531.89999999851,2.060694694519043,0.6060688571913737,60.05710347569999,110.51818181777544,0.7540611233381627,False
"MNIST-like (1K points, 784D)",dist,4542.80000000447,16.942140579223633,0.6163255221599593,60.0,110.78181818263096,0.7353482121516006,False
"MNIST-like (1K points, 784D)",js,4767.20000000298,9.178610801696776,0.6181681100356597,59.99400060029756,110.66363636336544,0.7290169918694178,False
Medium Clustered (600 points),all,2371.5,-10.35161590576172,0.9490553644788382,48.98530440845848,19.906666667262712,0.7407023573032525,False
Medium Clustered (600 points),all,2341.0,-4.798004150390625,0.9500384541893572,47.870748977617765,18.87333333343268,0.7393114506999735,True
Medium Clustered (600 points),nn,3620.79999999702,4.386676788330078,0.9527823158498137,54.16584597211022,21.633333332836628,0.6866375509669675,True
Medium Clustered (600 points),all,2410.0,-8.21367073059082,0.9475976879717206,48.14305364490546,19.56666666716337,0.6709637470736223,False
Medium Clustered (600 points),all,2390.79999999702,1.4578399658203125,0.9485227381293588,48.71869823617092,19.726666667560732,0.6583275282257264,False
Small Random (80 points),nn,2940.0,-3.134370803833008,0.855809620596206,46.98590422887137,18.126666667560738,0.666706771375073,False
Small Random (80 points),matrix,2921.0,1.8915061950683596,0.8622628726287263,48.0,18.159999999403954,0.6515979905663988,False
Small Random (80 points),nn,2954.8000000044703,-4.686074256896973,0.8481029810298103,45.99080183949504,18.166666667163373,0.6499828038587341,False
Small Random (80 points),all,722.5,-6.689571380615234,0.8602303523035231,0.0,19.579999999701972,0.6437553142424888,True
Small Random (80 points),all,754.3999999985099,-5.33359432220459,0.8535060975609756,0.0,19.479999999205276,0.6141524387566317,False
"Swiss Roll (600 points, 3D manifold)",all,1643.5,8.7394437789917,0.9949214197000096,48.85675200319797,13.909090909090908,0.8515154276129129,True
"Swiss Roll (600 points, 3D manifold)",all,1634.0,7.631335258483887,0.9943295595681666,48.47165891786747,14.818181818859143,0.7826739171674705,True
"Swiss Roll (600 points, 3D manifold)",all,1702.9000000059605,8.739089012145996,0.994441578293685,46.92960559161258,15.74545454504815,0.7416231928969179,False
"Swiss Roll (600 points, 3D manifold)",matrix,2866.0,9.72357940673828,0.9944212763924716,60.003934684153634,15.545454546131872,0.7321864584461494,False
"Swiss Roll (600 points, 3D manifold)",matrix,2859.0,9.83285903930664,0.9942469188879336,59.99803285120605,14.936363636770032,0.723573975827983,False
