,trustworthiness,trustworthiness,trustworthiness,trustworthiness,fps_avg,fps_avg,responsiveness_ms,responsiveness_ms
,mean,median,std,count,mean,median,mean,median
feature_name,,,,,,,,
All Features,0.8898,0.9673,0.1532,120,41.5004,41.9678,26.2589,19.6733
Baseline (JS),0.8981,0.9702,0.1437,110,82.5107,60.0256,29.3119,21.6833
Distance,0.9008,0.9701,0.139,120,85.1948,84.1012,26.9372,19.6618
Matrix,0.9109,0.969,0.1315,140,89.6144,109.1541,23.3388,15.6727
NN Descent,0.9102,0.9684,0.1321,140,89.5565,109.1703,23.5861,10.6545
Optimizer,0.8994,0.9674,0.148,140,47.1956,45.7421,25.4909,20.1379
Tree,0.9011,0.9693,0.1386,122,85.8112,108.0137,26.4126,19.037
