dataset,machine,feature,baseline_median_ms,feature_median_ms,speedup,improvement_pct
3D Dense Clusters (1K points),Linux,All Features,4570.94999999553,3420.5000000037253,1.3363397164129664,33.63397164129665
3D Dense Clusters (1K points),Linux,Distance,4570.94999999553,4576.599999997765,0.9987654590739331,-0.1234540926066896
3D Dense Clusters (1K points),Linux,Tree,4570.94999999553,4612.0,0.9910993061568798,-0.89006938431202
3D Dense Clusters (1K points),Linux,Matrix,4570.94999999553,4559.79999999702,1.002445282687512,0.2445282687512096
3D Dense Clusters (1K points),Linux,NN Descent,4570.94999999553,4628.19999999553,0.9876301801996337,-1.2369819800366333
3D Dense Clusters (1K points),Linux,Optimizer,4570.94999999553,3441.5,1.3281853842788114,32.81853842788114
3D Dense Clusters (1K points),MacBook,All Features,4927.199999999255,2777.449999999255,1.7740013321574022,77.40013321574023
3D Dense Clusters (1K points),MacBook,Distance,4927.199999999255,4860.949999999255,1.0136290231333402,1.3629023133340246
3D Dense Clusters (1K points),MacBook,Tree,4927.199999999255,5209.39999999851,0.9458286942835383,-5.417130571646167
3D Dense Clusters (1K points),MacBook,Matrix,4927.199999999255,4850.999999998137,1.0157081014226235,1.5708101422623466
3D Dense Clusters (1K points),MacBook,NN Descent,4927.199999999255,4995.800000000745,0.986268465510733,-1.3731534489267005
3D Dense Clusters (1K points),MacBook,Optimizer,4927.199999999255,2876.5999999996275,1.7128554543557997,71.28554543557996
"Iris Dataset (150 points, 4D)",Linux,All Features,2311.050000000745,646.0999999977648,3.5769230769366045,257.69230769366044
"Iris Dataset (150 points, 4D)",Linux,Distance,2311.050000000745,2304.3000000044703,1.002929306078315,0.2929306078315097
"Iris Dataset (150 points, 4D)",Linux,Tree,2311.050000000745,2297.75,1.00578827113513,0.578827113513003
"Iris Dataset (150 points, 4D)",Linux,Matrix,2311.050000000745,2296.39999999851,1.006379550601918,0.6379550601917972
"Iris Dataset (150 points, 4D)",Linux,NN Descent,2311.050000000745,2322.849999997765,0.9949200335807171,-0.5079966419282878
"Iris Dataset (150 points, 4D)",Linux,Optimizer,2311.050000000745,602.1999999992549,3.8376785121282038,283.7678512128204
"Iris Dataset (150 points, 4D)",MacBook,All Features,2534.4000000003725,472.79999999981374,5.360406091373458,436.0406091373458
"Iris Dataset (150 points, 4D)",MacBook,Distance,2534.4000000003725,2601.199999999255,0.9743195448258875,-2.568045517411255
"Iris Dataset (150 points, 4D)",MacBook,Tree,2534.4000000003725,2746.75,0.9226904523529161,-7.730954764708386
"Iris Dataset (150 points, 4D)",MacBook,Matrix,2534.4000000003725,2576.0499999998137,0.9838318355624137,-1.6168164437586285
"Iris Dataset (150 points, 4D)",MacBook,NN Descent,2534.4000000003725,2597.0999999996275,0.9758576874208679,-2.414231257913213
"Iris Dataset (150 points, 4D)",MacBook,Optimizer,2534.4000000003725,472.20000000018626,5.367217280811887,436.7217280811887
"MNIST-like (1K points, 784D)",Linux,All Features,4602.050000000745,3855.85000000149,1.1935241256788949,19.352412567889488
"MNIST-like (1K points, 784D)",Linux,Distance,4602.050000000745,4576.949999999255,1.0054840013549404,0.5484001354940427
"MNIST-like (1K points, 784D)",Linux,Tree,4602.050000000745,4598.0,1.0008808177470085,0.08808177470085443
"MNIST-like (1K points, 784D)",Linux,Matrix,4602.050000000745,4585.10000000149,1.003696756886273,0.36967568862729117
