generated_at,runs_declared,result_run,result_duration_ms,stats_start_time,stats_duration_ms,wasm_features_file,wasm_preload,machine_platform,machine_release,machine_arch,cpu_model,cpu_cores,total_mem_bytes,load_avg_1,load_avg_5,load_avg_15,hostname,git_commit,git_branch,git_status_dirty,dataset_index,timestamp,dataset_name,dataset_size,dimensions,wasm_features,rendering_enabled,runtime_ms,memory_delta_mb,trustworthiness,fps_avg,responsiveness_ms
2026-02-07T03:48:51.452Z,10,1,40567,2026-02-07T03:49:07.248Z,25205.813,none,True,linux,6.6.87.2-microsoft-standard-WSL2,x64,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,12,8240963584,0.35,0.26,0.28,DESKTOP-7R7IE5L,81a06d89cee35796844f6d872a476a67b89a138c,improve-analytics,False,1,2026-02-07T03:49:25.766Z,"Iris Dataset (150 points, 4D)",150,4,none,True,2366.0999999940395,-0.013417243957519531,0.9878326996197718,60.039370078740156,8.281818182630973
2026-02-07T03:48:51.452Z,10,1,40567,2026-02-07T03:49:07.248Z,25205.813,none,True,linux,6.6.87.2-microsoft-standard-WSL2,x64,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,12,8240963584,0.35,0.26,0.28,DESKTOP-7R7IE5L,81a06d89cee35796844f6d872a476a67b89a138c,improve-analytics,False,2,2026-02-07T03:49:32.171Z,Small Random (80 points),80,10,none,True,3326.6000000089407,15.658463478088379,0.8607892953929539,47.216210898660094,21.03333333233992
2026-02-07T03:48:51.452Z,10,2,37428,2026-02-07T03:49:46.215Z,23675.601000000002,none,True,linux,6.6.87.2-microsoft-standard-WSL2,x64,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,12,8240963584,0.35,0.26,0.28,DESKTOP-7R7IE5L,81a06d89cee35796844f6d872a476a67b89a138c,improve-analytics,False,1,2026-02-07T03:50:03.555Z,"Iris Dataset (150 points, 4D)",150,4,none,True,2392.7000000029802,-0.051041603088378906,0.9878073510773131,60.00393468371387,8.70909091017463
2026-02-07T03:48:51.452Z,10,2,37428,2026-02-07T03:49:46.215Z,23675.601000000002,none,True,linux,6.6.87.2-microsoft-standard-WSL2,x64,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,12,8240963584,0.35,0.26,0.28,DESKTOP-7R7IE5L,81a06d89cee35796844f6d872a476a67b89a138c,improve-analytics,False,2,2026-02-07T03:50:09.380Z,Small Random (80 points),80,10,none,True,3021.7999999970198,8.784737586975098,0.8530826558265583,48.190401258992544,21.140000000596046
2026-02-07T03:48:51.452Z,10,3,36905,2026-02-07T03:50:23.352Z,23448.497000000003,none,True,linux,6.6.87.2-microsoft-standard-WSL2,x64,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,12,8240963584,0.35,0.26,0.28,DESKTOP-7R7IE5L,81a06d89cee35796844f6d872a476a67b89a138c,improve-analytics,False,1,2026-02-07T03:50:40.297Z,"Iris Dataset (150 points, 4D)",150,4,none,True,2350.5,0.020346641540527344,0.9877059569074779,60.0157418335717,8.4909090900963
2026-02-07T03:48:51.452Z,10,3,36905,2026-02-07T03:50:23.352Z,23448.497000000003,none,True,linux,6.6.87.2-microsoft-standard-WSL2,x64,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,12,8240963584,0.35,0.26,0.28,DESKTOP-7R7IE5L,81a06d89cee35796844f6d872a476a67b89a138c,improve-analytics,False,2,2026-02-07T03:50:46.493Z,Small Random (80 points),80,10,none,True,3316.3999999910593,5.650254249572754,0.8690379403794037,49.19323101112435,22.533333333333335
2026-02-07T03:48:51.452Z,10,4,36709,2026-02-07T03:51:00.062Z,23449.445,none,True,linux,6.6.87.2-microsoft-standard-WSL2,x64,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,12,8240963584,0.35,0.26,0.28,DESKTOP-7R7IE5L,81a06d89cee35796844f6d872a476a67b89a138c,improve-analytics,False,1,2026-02-07T03:51:17.129Z,"Iris Dataset (150 points, 4D)",150,4,none,True,2349.7999999970198,2.822504997253418,0.9868060836501901,60.015741834451575,8.872727273540063
2026-02-07T03:48:51.452Z,10,4,36709,2026-02-07T03:51:00.062Z,23449.445,none,True,linux,6.6.87.2-microsoft-standard-WSL2,x64,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,12,8240963584,0.35,0.26,0.28,DESKTOP-7R7IE5L,81a06d89cee35796844f6d872a476a67b89a138c,improve-analytics,False,2,2026-02-07T03:51:23.201Z,Small Random (80 points),80,10,none,True,3274.5999999940395,27.0892915725708,0.8727642276422765,49.17387883570668,20.8
2026-02-07T03:48:51.452Z,10,5,49454,2026-02-07T03:51:42.898Z,30069.689000000002,none,True,linux,6.6.87.2-microsoft-standard-WSL2,x64,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,12,8240963584,0.35,0.26,0.28,DESKTOP-7R7IE5L,81a06d89cee35796844f6d872a476a67b89a138c,improve-analytics,False,1,2026-02-07T03:52:06.942Z,"Iris Dataset (150 points, 4D)",150,4,none,True,2316.5,0.20075130462646484,0.9853992395437262,60.0,7.454545455900106
2026-02-07T03:48:51.452Z,10,5,49454,2026-02-07T03:51:42.898Z,30069.689000000002,none,True,linux,6.6.87.2-microsoft-standard-WSL2,x64,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,12,8240963584,0.35,0.26,0.28,DESKTOP-7R7IE5L,81a06d89cee35796844f6d872a476a67b89a138c,improve-analytics,False,2,2026-02-07T03:52:12.456Z,Small Random (80 points),80,10,none,True,2968.2000000029802,14.254448890686035,0.858739837398374,48.99510049024301,19.206666667262713
2026-02-07T03:48:51.452Z,10,6,35562,2026-02-07T03:52:25.852Z,22678.626000000004,none,True,linux,6.6.87.2-microsoft-standard-WSL2,x64,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,12,8240963584,0.35,0.26,0.28,DESKTOP-7R7IE5L,81a06d89cee35796844f6d872a476a67b89a138c,improve-analytics,False,1,2026-02-07T03:52:42.375Z,"Iris Dataset (150 points, 4D)",150,4,none,True,2349.0999999940395,1.946314811706543,0.9852386987748204,60.0,7.845454546538266
2026-02-07T03:48:51.452Z,10,6,35562,2026-02-07T03:52:25.852Z,22678.626000000004,none,True,linux,6.6.87.2-microsoft-standard-WSL2,x64,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,12,8240963584,0.35,0.26,0.28,DESKTOP-7R7IE5L,81a06d89cee35796844f6d872a476a67b89a138c,improve-analytics,False,2,2026-02-07T03:52:47.995Z,Small Random (80 points),80,10,none,True,3024.0999999940395,14.702324867248535,0.8734586720867209,48.199881959048845,19.706666666269303
2026-02-07T03:48:51.452Z,10,7,36184,2026-02-07T03:53:01.514Z,23209.542,none,True,linux,6.6.87.2-microsoft-standard-WSL2,x64,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,12,8240963584,0.35,0.26,0.28,DESKTOP-7R7IE5L,81a06d89cee35796844f6d872a476a67b89a138c,improve-analytics,False,1,2026-02-07T03:53:18.117Z,"Iris Dataset (150 points, 4D)",150,4,none,True,2375.2000000029802,0.23865413665771484,0.988601605407689,59.99400059940367,8.072727273810994
2026-02-07T03:48:51.452Z,10,7,36184,2026-02-07T03:53:01.514Z,23209.542,none,True,linux,6.6.87.2-microsoft-standard-WSL2,x64,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,12,8240963584,0.35,0.26,0.28,DESKTOP-7R7IE5L,81a06d89cee35796844f6d872a476a67b89a138c,improve-analytics,False,2,2026-02-07T03:53:24.415Z,Small Random (80 points),80,10,none,True,3413.1000000089407,-0.3227729797363281,0.8642445799457994,48.199881959048845,23.339999999602636
2026-02-07T03:48:51.452Z,10,8,37219,2026-02-07T03:53:38.152Z,23793.022000000004,none,True,linux,6.6.87.2-microsoft-standard-WSL2,x64,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,12,8240963584,0.35,0.26,0.28,DESKTOP-7R7IE5L,81a06d89cee35796844f6d872a476a67b89a138c,improve-analytics,False,1,2026-02-07T03:53:55.426Z,"Iris Dataset (150 points, 4D)",150,4,none,True,2369.0999999940395,3.05557918548584,0.9870595690747782,59.99400060029756,8.454545455900105
2026-02-07T03:48:51.452Z,10,8,37219,2026-02-07T03:53:38.152Z,23793.022000000004,none,True,linux,6.6.87.2-microsoft-standard-WSL2,x64,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,12,8240963584,0.35,0.26,0.28,DESKTOP-7R7IE5L,81a06d89cee35796844f6d872a476a67b89a138c,improve-analytics,False,2,2026-02-07T03:54:01.685Z,Small Random (80 points),80,10,none,True,3336.2000000029802,-1.8566856384277344,0.8695630081300814,47.99520048023805,21.020000000794727
2026-02-07T03:48:51.452Z,10,9,36269,2026-02-07T03:54:15.181Z,23039.949,none,True,linux,6.6.87.2-microsoft-standard-WSL2,x64,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,12,8240963584,0.35,0.26,0.28,DESKTOP-7R7IE5L,81a06d89cee35796844f6d872a476a67b89a138c,improve-analytics,False,1,2026-02-07T03:54:31.927Z,"Iris Dataset (150 points, 4D)",150,4,none,True,2339.1000000089407,3.0918264389038086,0.9873806506125897,59.99803285120605,8.718181816014377
2026-02-07T03:48:51.452Z,10,9,36269,2026-02-07T03:54:15.181Z,23039.949,none,True,linux,6.6.87.2-microsoft-standard-WSL2,x64,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,12,8240963584,0.35,0.26,0.28,DESKTOP-7R7IE5L,81a06d89cee35796844f6d872a476a67b89a138c,improve-analytics,False,2,2026-02-07T03:54:37.774Z,Small Random (80 points),80,10,none,True,3020.2999999970198,7.063218116760254,0.8578929539295392,45.990801839495035,19.913333333532016
2026-02-07T03:48:51.452Z,10,10,37763,2026-02-07T03:54:52.111Z,23876.305,none,True,linux,6.6.87.2-microsoft-standard-WSL2,x64,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,12,8240963584,0.35,0.26,0.28,DESKTOP-7R7IE5L,81a06d89cee35796844f6d872a476a67b89a138c,improve-analytics,False,1,2026-02-07T03:55:09.516Z,"Iris Dataset (150 points, 4D)",150,4,none,True,2348.0,3.004453659057617,0.9898436839881707,60.0039346845934,0.0
