Scope,feature_name,Runtime (ms),Speedup (×),Quality (Trust.),FPS,Latency (ms),Memory (MB)
large,All Features,3715.45,1.2206462205131159,0.79,37.1,62.13,22.74
large,Baseline (JS),4535.25,1.0,0.81,55.56,67.63,16.53
large,Distance,4562.2,0.9940927622647941,0.8,55.6,70.0,10.29
large,Matrix,4447.45,1.019741649710409,0.81,55.57,64.64,16.61
large,NN Descent,4590.8,0.9878997124690564,0.8,55.55,66.34,21.74
large,Optimizer,3766.5,1.2041019514185431,0.79,37.37,68.67,4.17
large,Tree,4380.4,1.0353506529105234,0.81,55.87,63.67,17.64
mid,All Features,1853.45,1.7911462407969068,0.97,47.93,16.92,9.14
mid,Baseline (JS),3319.8,1.0,0.97,57.49,19.56,17.73
mid,Distance,3340.85,0.9936992082839813,0.97,57.48,18.88,18.71
mid,Matrix,3269.05,1.0155243878214197,0.97,57.54,17.85,13.97
mid,NN Descent,3286.65,1.010086258043456,0.97,57.05,17.89,21.46
mid,Optimizer,1993.35,1.66543757994438,0.97,47.36,20.3,14.5
mid,Tree,3341.35,0.9935505110196595,0.97,57.03,19.17,18.1
small,All Features,698.5,3.837437365706224,0.92,0.0,15.64,11.07
small,Baseline (JS),2680.45,1.0,0.93,54.59,14.04,3.03
small,Distance,2761.65,0.9705972878548789,0.94,54.98,15.69,1.61
small,Matrix,2658.6,1.0082186112997358,0.94,55.08,13.52,4.4
small,NN Descent,2840.05,0.943803806275532,0.93,54.58,15.92,11.84
small,Optimizer,815.65,3.286274750238903,0.92,0.0,19.24,0.23
small,Tree,2668.95,1.004308810580935,0.93,54.1,13.73,5.82
