generated_at,runs_declared,result_run,result_wasm_features,result_duration_ms,stats_start_time,stats_duration_ms,wasm_features_file,wasm_preload,machine_platform,machine_release,machine_arch,cpu_model,cpu_cores,total_mem_bytes,load_avg_1,load_avg_5,load_avg_15,hostname,git_commit,git_branch,git_status_dirty,ui_run_id,ui_timestamp,scope,dataset_name,dataset_size,dimensions,ui_wasm_features,wasm_mode,runtime_ms,memory_delta_mb,trustworthiness,fps_avg,responsiveness_ms
2026-01-31T12:39:27.635Z,10,1,none,43526,2026-01-31T12:39:45.906Z,25293.619999999995,none,True,linux,6.6.87.2-microsoft-standard-WSL2,x64,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,12,8240967680,0.68,1.3,1.09,DESKTOP-7R7IE5L,797405cb958467a6e21c0df3e11c8f4e74136a58,improve-tests,True,1,2026-01-31T12:40:03.865Z,small,"Iris Dataset (150 points, 4D)",150,4,none,js,2326.9000000059605,-0.05500507354736328,0.9868821292775666,60.0,8.600000000135465
2026-01-31T12:39:27.635Z,10,1,none,43526,2026-01-31T12:39:45.906Z,25293.619999999995,none,True,linux,6.6.87.2-microsoft-standard-WSL2,x64,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,12,8240967680,0.68,1.3,1.09,DESKTOP-7R7IE5L,797405cb958467a6e21c0df3e11c8f4e74136a58,improve-tests,True,2,2026-01-31T12:40:11.571Z,small,Small Random (80 points),80,10,none,js,3404.4000000059605,-4.720348358154297,0.8766768292682927,48.204623708804725,24.000000000496705
2026-01-31T12:39:27.635Z,10,2,none,45124,2026-01-31T12:40:27.525Z,28781.218999999997,none,True,linux,6.6.87.2-microsoft-standard-WSL2,x64,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,12,8240967680,0.68,1.3,1.09,DESKTOP-7R7IE5L,797405cb958467a6e21c0df3e11c8f4e74136a58,improve-tests,True,1,2026-01-31T12:40:50.544Z,small,"Iris Dataset (150 points, 4D)",150,4,none,js,2297.10000000149,2.9824399948120117,0.9916265314744402,60.0,9.072727273810994
2026-01-31T12:39:27.635Z,10,2,none,45124,2026-01-31T12:40:27.525Z,28781.218999999997,none,True,linux,6.6.87.2-microsoft-standard-WSL2,x64,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,12,8240967680,0.68,1.3,1.09,DESKTOP-7R7IE5L,797405cb958467a6e21c0df3e11c8f4e74136a58,improve-tests,True,2,2026-01-31T12:40:56.801Z,small,Small Random (80 points),80,10,none,js,3291.8000000044703,14.7465181350708,0.8306741192411924,48.0,22.9
2026-01-31T12:39:27.635Z,10,3,none,46734,2026-01-31T12:41:11.846Z,31195.437,none,True,linux,6.6.87.2-microsoft-standard-WSL2,x64,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,12,8240967680,0.68,1.3,1.09,DESKTOP-7R7IE5L,797405cb958467a6e21c0df3e11c8f4e74136a58,improve-tests,True,1,2026-01-31T12:41:36.835Z,small,"Iris Dataset (150 points, 4D)",150,4,none,js,2334.0,1.2195043563842773,0.9885678073510773,59.994000599850615,9.881818182089113
2026-01-31T12:39:27.635Z,10,3,none,46734,2026-01-31T12:41:11.846Z,31195.437,none,True,linux,6.6.87.2-microsoft-standard-WSL2,x64,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,12,8240967680,0.68,1.3,1.09,DESKTOP-7R7IE5L,797405cb958467a6e21c0df3e11c8f4e74136a58,improve-tests,True,2,2026-01-31T12:41:43.520Z,small,Small Random (80 points),80,10,none,js,3457.89999999851,12.054715156555176,0.8546239837398374,45.25777253056616,24.85999999990066
2026-01-31T12:39:27.635Z,10,4,none,45997,2026-01-31T12:42:01.603Z,27449.961000000003,none,True,linux,6.6.87.2-microsoft-standard-WSL2,x64,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,12,8240967680,0.68,1.3,1.09,DESKTOP-7R7IE5L,797405cb958467a6e21c0df3e11c8f4e74136a58,improve-tests,True,1,2026-01-31T12:42:22.458Z,small,"Iris Dataset (150 points, 4D)",150,4,none,js,2349.1999999955297,-0.2164163589477539,0.9885382340515421,59.994000599850615,9.75454545495185
2026-01-31T12:39:27.635Z,10,4,none,45997,2026-01-31T12:42:01.603Z,27449.961000000003,none,True,linux,6.6.87.2-microsoft-standard-WSL2,x64,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,12,8240967680,0.68,1.3,1.09,DESKTOP-7R7IE5L,797405cb958467a6e21c0df3e11c8f4e74136a58,improve-tests,True,2,2026-01-31T12:42:29.531Z,small,Small Random (80 points),80,10,none,js,3415.0,-9.127540588378906,0.870460704607046,46.23708804722086,24.966666667163373
2026-01-31T12:39:27.635Z,10,5,none,42240,2026-01-31T12:42:45.348Z,25965.218999999997,none,True,linux,6.6.87.2-microsoft-standard-WSL2,x64,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,12,8240967680,0.68,1.3,1.09,DESKTOP-7R7IE5L,797405cb958467a6e21c0df3e11c8f4e74136a58,improve-tests,True,1,2026-01-31T12:43:05.224Z,small,"Iris Dataset (150 points, 4D)",150,4,none,js,2311.8000000044703,1.3709306716918945,0.990261934938741,59.982005398559195,9.081818182360042
2026-01-31T12:39:27.635Z,10,5,none,42240,2026-01-31T12:42:45.348Z,25965.218999999997,none,True,linux,6.6.87.2-microsoft-standard-WSL2,x64,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,12,8240967680,0.68,1.3,1.09,DESKTOP-7R7IE5L,797405cb958467a6e21c0df3e11c8f4e74136a58,improve-tests,True,2,2026-01-31T12:43:11.769Z,small,Small Random (80 points),80,10,none,js,3414.6999999955297,-0.9886589050292969,0.8576727642276423,48.0,22.69333333323399
